event_name,isFeatured
Seychelles in Kenya T20I Match,
New Zealand Women tour of India,yes
Cricket Ireland Inter-Provincial Limited Over Cup,
Rachael Heyhoe Flint Trophy,
Australia tour of England,yes
ICC Men's T20 World Cup East Asia-Pacific Region Qualifier B,
Japan tour of South Korea,
Netherlands Tri-Nation T20I Series,
ICC Men's T20 World Cup East Asia-Pacific Region Qualifier A,
England tour of West Indies,yes
Netherlands Women's ODI Tri-Series,yes
ICC Men's T20 World Cup Sub Regional Africa Qualifier,yes
Women's Asia Cup,yes
Namibia T20 Tri-Series,
Germany Women's T20I Tri-Series,yes
Netherlands Women's T20I Tri-Series,yes
New Zealand Women tour of Australia,yes
Rwanda tour of Malawi,
England tour of Pakistan,yes
South Africa Women tour of Pakistan,
India tour of Zimbabwe,yes
Bahrain tour of Uganda,
Canada T20 Tri-Series,
Sri Lanka Women tour of Ireland,yes
Nigeria tour of Kenya,yes
Women's T20I Quadrangular Series (in Denmark),
One-Day Cup,
ICC Men's T20 World Cup Sub Regional Europe Qualifier,
New Zealand tour of India,yes
Women's East Asia Cup,
CSA T20 Challenge,
The Hundred Men's Competition,yes
ICC Men's T20 World Cup Asia Qualifier A,yes
Italy Women in Germany T20I Match,
Vitality Blast,yes
Caribbean Premier League,yes
South Africa tour of Bangladesh,yes
Singapore Women tour of Japan,
Bangladesh tour of Pakistan,yes
The Hundred Women's Competition,
Sri Lanka tour of England,yes
Bhutan Quadrangular T20I Series,
Australia tour of Scotland,yes
County Championship,
ICC Men's T20 World Cup Sub Regional Europe Qualifier Group C,yes
Rwanda Women tour of Kenya,
Inter-Insular Women's Twenty20 Series,
South Africa tour of West Indies,yes
Serbia tour of Gibraltar,
Nepal tour of United States of America,
India tour of Sri Lanka,yes
Bangladesh tour of India,yes
United States of America Women tour of Zimbabwe,
West Indies tour of Sri Lanka,yes
New Zealand tour of Sri Lanka,yes
Women's Caribbean Premier League,
England Women tour of Ireland,yes
Kenya Women tour of Rwanda,
Afghanistan vs South Africa,yes
Lanka Premier League,
Ireland vs South Africa,yes
Cricket Ireland Inter-Provincial Twenty20 Trophy,
Malaysia Tri-Nation T20I Series,
South Africa Women tour of India,yes
South American Men's Championships,yes
CWC Challenge League,
Women's Valletta Cup,
Twenty20 Quadrangular (in Kenya),
Indonesia Women's T20I Tri-Series,
Major League Cricket,yes
ICC Men's Cricket World Cup League 2,yes
ICC Women's T20 World Cup,yes
Sheffield Shield,
Women's Big Bash League,yes
Singapore Women's T20I Tri-Series,
Namibia Women's T20I Tri-Series,
Zimbabwe tour of Ireland,yes
West Indies tour of England,yes
New Zealand Women tour of England,yes
Spain Women tour of Greece,
